jurisdiction_iapp,policy_text,authorities_text,other_laws_text,context_text,pages,page_count,page_start,page_end,source,source_date
Hong Kong,"Hong Kong aims to balance AI innovation with
responsibility, creating a contextual governance
framework built for local characteristics. The
region governs AI through existing sectoral law
and various governance frameworks. These
include:
• The Ethical AI Framework
• Guidance on the Ethical Development and Use
of AI
• AI: Model Personal Data Protection Framework
• Checklist on Guidelines for the Use of
Generative AI by Employees
• Generative AI Technical and Application
Guideline","J Digital Policy Office
J Privacy Commissioner for
Personal Data
J Hong Kong Monetary
Authority
J Financial Services and
Treasury Bureau
J Securities and Futures
Commission
J Intellectual Property
Department
J Equal Opportunities
Commission
J Hong Kong Generative AI
R&D Center
J Smart Government
Innovation Lab","J Personal Data Privacy
Ordinance [IN FORCE]
J Copyright Ordinance
[IN FORCE]
J Sex Discrimination Ordinance
[IN FORCE]
J Race Discrimination Ordinance
[IN FORCE]
J Family Status Discrimination
Ordinance [IN FORCE]
J Protection of Critical
Infrastructure (Computer
Systems) Ordinance [IN FORCE]","• Hong Kong's Commerce and Economic
Development Bureau and its Intellectual
Property Department began a public
consultation process to assess potential
updates to copyright laws in view of AI
developments.
• The Financial Services and Treasury Bureau
released a Policy Statement on Responsible
Application of AI in the Financial Market,
and the Securities and Futures Commission
released a Circular on the Use of Generative AI
Language Models.
• Hong Kong Monetary Authority released a
circular on Consumer Protection in respect
of Use of Generative AI and the Insurance
Authority issued Conduct in Focus: Chatting
About Chatbots and AI.",18,1,18,18,IAPP_Global_AI_Law_Policy_Tracker,2026-02
India,"A proposed Digital India Act would replace the
IT Act of 2000 and regulate AI, emphasizing
accountability, safety and privacy. The Indian
government has advocated for a robust,
citizen-centric and inclusive ""AI for all""
environment. A task force was established to
make recommendations on ethical, legal and
societal issues related to AI, and to establish an
AI regulatory authority.
According to its National Strategy for AI, India
hopes to become what it calls an ""AI garage""
for emerging and developing economies where
scalable solutions can be easily implemented and
designed for global deployment.
MeitY released the India AI Governance Guidelines
in November 2025, which outlines key principles,
issues and recommendations, a government
action plan, and practical guidelines for industry
actors, all to spur safe and trustworthy AI
innovation.
NITI Aayog published two AI policy documents
in 2021, discussing principles and the
operationalization of responsible AI.
India's government is open to new regulation
for AI, but wants to achieve consensus. To this
effect, India released a report on AI governance
guidelines, pointing to recommendations for a
future regulatory framework. At the same time,
India is developing standards for organizations
that lay out benchmarks for reliability,
explainability, transparency, privacy and security.
In November 2024, India released the Developer’s
Playbook for Responsible AI in India, detailing the
government's unified industry framework for AI
risk identification and mitigation.
MeitY released an AI advisory requiring that
platforms ensure their AI models do not
disseminate unlawful content or threaten the
electoral process.","J NITI Aayog
J Ministry of Electronics and
Information Technology
J Ministry of Commerce and
Industry
J AI Task Force","J Information Technology Act
[IN FORCE]
J The Information Technology
Rules [IN FORCE]
J Competition Act [IN FORCE]
J Motor Vehicles Act [IN FORCE]
J Digital Personal Data
Protection Act [IN FORCE]
J Copyright Act [IN FORCE]
J National e-Governance Plan
[IN FORCE]","• India is hosting the AI Impact Summit in
February 2026, envisioning AI that advances
humanity, fosters inclusive growth and
safeguards the planet.
• India is a party to the G20 AI Principles, which
are drawn from the OECD's AI principles. See the
OECD AI principles and adherents.
• India participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• India adopted UNESCO's Recommendation on
the Ethics of AI.
• Funded by MeitY, the AI Research, Analytics
and Knowledge Dissemination Platform is a
supercomputer which empowers academia,
research labs, the scientific community,
industry and startups to develop AI-enabled
solutions tailored to India-specific challenges.
• India AI, a MeitY initiative, aims to foster AI
innovation.
• India signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.
• India has emphasized development of open-
source digital public infrastructure, including
Aadhaar, a digital identification system that
enables access to banking, health care and
government benefits.",19|20,2,19,20,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Indonesia,"In 2020, Indonesia released the National Strategy
on AI as part of the AI Towards Indonesia's Vision
2045. The following five national priorities were
outlined as where AI is anticipated to have the
biggest impact:
• Health services
• Bureaucratic reform
• Education and research
• Food security
• Mobility and smart cities
Indonesia adopted a Circular on AI Ethics.
While not binding, it provides a reference
point for formulating and establishing internal
organizational policies for use of AI in Indonesia's
public and private sectors. Since issuing the
circular, the Ministry of Communication and
Informatics committed to preparing specific
regulations regarding AI use and development.
In January 2025, the government announced
that it was in the process of developing robust AI
regulation.
The Ministry of Communication and Digital Affairs
announced that the government is preparing an
AI Roadmap to address technological impacts and
national competitiveness.","J Ministry of
Communication and
Digital Affairs
J Ministry of Research,
Technology and Higher
Education
J National Cyber and
Crypto Agency","J Law No. 27 of 2022 on
Personal Data Protection
[IN FORCE]
J Law No. 1 of 2024 Electronic
Information and Transaction
Law [IN FORCE]
J Law No. 36 of 1999 regarding
Telecommunications
[IN FORCE]
J Law No. 14 of 2008 on Public
Information Transparency
[IN FORCE]
J Law No. 28 of 2014 on
Copyright [IN FORCE]","• Indonesia is a party to the G20 AI Principles,
which are drawn from the OECD's AI principles.
See OECD AI principles and adherents.
• Indonesia participated in the 2023 U.K. AI
Summit, which led to the Bletchley Declaration.
• Indonesia also adopted UNESCO's
Recommendation on the Ethics of AI.
• See Indonesia's roadmap for industry, Making
Indonesia 4.0.
• Indonesia’s Ministry of Communications and
Informatics has partnered with UNESCO and
completed an AI Readiness Assessment.
• Indonesia signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",20,1,20,20,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Israel,"In April 2025, the Ministry of Innovation, Science
and Technology, the Israel Innovation Authority,
and others published a National Program
for AI with objectives including developing AI
infrastructure, expanding the use of AI in the public
sector and strengthening Israel’s geotechnological
position in AI.
Based on a policy for regulation and ethics in AI,
Israel wants to form a uniform risk-management
tool, establish a governmental knowledge and
coordination center and maintain involvement in
international regulation and standardization. In
general, voluntary standardization, sector-based
self-regulation and modular experimentation
tools, e.g., sandboxes, will be favored over a lateral
framework. The following resources are available
for policy guidance:
• Israeli AI Regulation and Policy White Paper:
A First Glance
• Harnessing Innovation: Israeli Perspectives on
AI Ethics and Governance
• Policy on AI Regulations and Ethics
In September 2024, Israel's Ministry of Innovation,
Science and Technology called for experts to assist
in AI policy development.
In November 2024, the government released a
report for public comment on the use of AI in the
private sector. The report advocates development
of AI in finance.
In April 2025, Israel's Privacy Protection Authority
released draft guidance for AI governance and
privacy. This document summarizes obligations
when using personal data in the context of AI
tools.","J Ministry of Innovation,
Science and Technology
J Ministry of Justice
J Privacy Protection
Authority
J Israel National Cyber
Directorate","J Basic Law: Human Dignity
and Liberty [IN FORCE]
J Protection of Privacy Law
amended by Amendment
No. 13 [IN FORCE]
J Data Security Regulations
[IN FORCE]
J Credit Data Law [IN FORCE]
J Copyright Act [IN FORCE]","• Israel is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Israel participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• Israel's Ministry of Justice issued an opinion
that machine learning will fall under the fair-use
provision in the country's Copyright Act.
• Israel and several other countries signed
onto the Council of Europe's Framework
Convention on AI and human rights,
democracy and the rule of law.
• Israel endorsed a joint statement on data
scraping and the protection of privacy with
Canada.",21,1,21,21,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Japan,"In 2022, Japan released a National AI Strategy.
Japan promotes the notion of ""agile governance,""
whereby the government provides nonbinding
guidance and defers to the private sector's
voluntary efforts to self-regulate. To this effect,
Japan's government enacted a new AI Promotion
Act in May 2025. This law presents a light touch
on regulation and seeks to further AI innovation
by requiring companies to cooperate with
government safety measures. Further, when
a company's use of AI involves the violation of
human rights, the law permits the government to
publicly list the name of the company involved.
The following white papers have been issued for
policy guidance:
• AI Governance in Japan Ver. 1.1
• Governance Guidelines for Implementation of
AI Principles
• AI Utilization Guidelines, an initiative for
implementing the OECD AI Principles
In 2023, the AI Strategy Council released draft AI
Operator Guidelines, which clarify how operators
should develop, provide and use AI.
In September 2024, Japan's AI Safety Institute
released two policies governing AI usage and
development. The Guide to Red Teaming
Methodology on AI Safety educates developers on
adversarial techniques they can use to improve
the safety of their AI models. The Guide to
Evaluation Perspectives on AI Safety provides basic
concepts for developers to use when conducting
AI safety evaluations. These documents were
drafted as a part of Japan's Hiroshima AI Process
initiative.
In October 2024, the Japan Fair Trade Commission
released a Request for Information about the
rapidly evolving generative AI market. In its
subject discussion paper, the JFTC addressed
businesses involved in three market layers:
infrastructure, such as computing resources;
model, i.e., developers of generative AI models;
and application, i.e., services using generative AI.
In February 2025, the Office of the Prime
Minister's AI Strategic Council Released an
interim report. The council highlighted several
intervention points: balancing innovation and
risk, promoting international cooperation,
strengthening government's strategic capacity,
improving safety and developing AI procurement
guidelines.","J Ministry of Economy,
Trade and Industry
J Council for Science,
Technology and Innovation
J Personal Information
Protection Commission
J Fair Trade Commission
J AI Safety Institute","J Improving Transparency
and Fairness of Digital
Platforms Act [IN FORCE]
J Financial Instruments and
Exchange Act [IN FORCE]
J Protection of Personal
Information Act [IN FORCE]
J Antimonopoly Act [IN FORCE]
J Product Liability Act [IN FORCE]
J Copyright Law [IN FORCE]","• Japan is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Japan participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• As part of the G7, Japan endorsed the 11
Hiroshima Process International Guiding
Principles for Advanced AI systems.
• Japan also adopted UNESCO's Recommendation
on the Ethics of AI.
• The Social Principles of Human-Centric AI,
drafted by the Council for Social Principles of
Human-Centric AI, describes AI's role in Japan's
""Society 5.0"" and advocates that AI should be
human-centric; promote education/literacy;
protect privacy; ensure security; maintain fair
competition; ensure fairness, accountability
and transparency; and promote collaborative
innovation.
• Minister of Education, Culture, Sports, Science
and Technology Keiko Nagaoka declared the
country's copyright laws cannot be enforced
on materials used in AI training datasets. This
announcement reflects a 2018 amendment to
Japan's Copyright Act.
• Japan's Ministry of Economy, Trade and
Industry introduced the Contract Guidelines for
AI and Data Use to assist parties involved in AI
business transactions.
• See the Draft AI Research and Development
Guidelines for International Discussions.
• See the AI Guidelines for Business, which
call for executive level responsibility of AI
governance.
• Japan signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",22|23,2,22,23,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Kenya,"Kenya released a National AI Strategy in 2025
centered around digital infrastructure, data, and
research and innovation.
In 2024, Kenya's Bureau of Standards released a
Draft Information Technology AI Code of Practice
for AI Applications to assist organizations with the
responsible development and use of AI.
A draft Robotics and AI Bill has been floated by the
Robotics Society of Kenya.","J The Ministry of
Information,
Communications and the
Digital Economy
J Distributed Ledgers
Technologies and AI
Taskforce","J Data Protection Act [IN FORCE]
J Computer Misuse and
Cybercrimes Act [IN FORCE]
J Consumer Protection Act
[IN FORCE]
J Industrial Property Act
[IN FORCE]","• Kenya's ICT Action Network published a white
paper titled AI for Inclusive Development:
Guiding Kenya’s Policy Landscape,
which promoted a national AI strategy,
multistakeholder initiatives, trust building, an
adaptive regulatory approach, AI-education and
skill building, among other recommendations.",23,1,23,23,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Mauritius,"Mauritius published an AI Strategy in 2018. The
strategy describes the benefits and challenges
of AI, specifically how AI impacts the country's
various industries, and sets out a clear vision
for development of AI.
Other initiatives from the Mauritius
government include:
• Innovative Mauritius
• AI for Agriculture project","J Ministry of Information
Technology,
Communication and
Innovation
J Ministry of Finance,
Economic Planning and
Development
J Emerging Technologies
Council
J Research and Innovation
Council
J Data Protection Office","J Financial Services (Robotic and
AI Enabled Advisory Services)
Rules [IN FORCE]
J Data Protection Act [IN FORCE]
J National Cyber Security
Strategy [IN FORCE]
J Cybersecurity and Cybercrime
Act [IN FORCE]
J Industrial Property Act
[IN FORCE]
J Copyright Act [IN FORCE]
J Protection against Unfair
Practices (Industrial Property
Rights) Act [IN FORCE]","• Mauritius also adopted UNESCO's
Recommendation on the Ethics of AI.
• See the Digital Mauritius 2030 strategic plan
and A Blueprint for Mauritius – A Bridge to the
Future.
• In 2019, the Minister of Technology,
Communication and Innovation officially
opened the workshop Leading Innovation in
Business and Government Services through AI,
which is organized by the Mauritius Research
and Innovation Council.
• Members of the government announced plans
to establish an AI Office to set standards for
data collection and security and development
of Digital Public Infrastructure to facilitate
mobile money solutions.",24,1,24,24,IAPP_Global_AI_Law_Policy_Tracker,2026-02
New Zealand,"New Zealand released its AI Strategy, Investing
with Confidence, in July 2025, as well as guidance
for businesses.
Many New Zealand government agencies are
signatories to the Algorithm Charter, which sets
out a series of ethical commitments around the
development and use of algorithms. The charter
provides a risk matrix to assess the likelihood
and impact of algorithmic applications. The
New Zealand government generally prioritizes
trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation
in New Zealand, the current Privacy Act 2020
applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued
guidance on compliance with privacy law when
using AI tools, as well as a summary. Further, the
Office of the Privacy Commissioner published
the Privacy Commissioner's expectations around
generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business,
Innovation and Employment released a cabinet
paper that outlines its approach to AI regulation.
In it, the ministry noted, ""we need to state
our support for increased uptake of AI in New
Zealand and be clear that we will take a light-
touch, proportionate and risk-based approach to
AI regulation.""
The AI Forum of New Zealand published a set of
guiding Trustworthy AI in Aotearoa AI principles
designed to provide direction for AI stakeholders.
In July 2025, New Zealand’s Privacy Commissioner
issued the Biometric Processing Privacy Code
2025, which likely impacts some AI use cases.","J Ministry of Business,
Innovation and
Employment
J Statistics New Zealand
J Office of the Privacy
Commissioner
J Department of
Internal Affairs","J Privacy Act [IN FORCE]
J Bill of Rights Act [IN FORCE]
J Treaty of Waitangi [IN FORCE]
J Human Rights Act [IN FORCE]
J Principles of Māori Data
Sovereignty
J Māori Data Governance Model","• New Zealand is a party to the OECD's AI
principles. See OECD AI principles and
adherents.
• New Zealand also adopted UNESCO's
Recommendation on the Ethics of AI.
• The New Zealand government released AI
cornerstones, which will inform an eventual
national AI strategy.
• See the AI Forum New Zealand.
• ""An example of governance for AI in health
services from Aotearoa New Zealand"" has been
recognized for its approach in the health sector,
particularly in terms of prioritizing the voice of
Māori.
• The Department of Internal Affairs published
initial advice on generative AI in the
public service.
• In February 2025, New Zealand Internal
Affairs released guidance for the responsible
use of generative AI for the public service.
The document focuses on safety, privacy
and accountability for generative AI
implementations.
• New Zealand signed the AI Action Summit
joint Statement on Inclusive and Sustainable
Artificial Intelligence for People and the
Planet.
• New Zealand endorsed a joint statement on
data scraping and the protection of privacy with
Canada.",25,1,25,25,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Nigeria,"In April 2024, Nigeria hosted a workshop to
devise a national AI strategy where Minister of
Communications, Innovation and Digital Economy
Bosun Tijani stated that the country's goal is to
become a key player in global regulation and
development of AI.
In September 2025, the country released its
national AI strategy, which recognizes the benefits
and risks of widespread adoption of AI. Nigeria
plans to address the ethical issues of using AI while
embracing it as a driver of socioeconomic growth.
In late 2024, the Nigerian House of
Representatives introduced a bill to regulate AI
usage. According to commentators, this is the
third such bill to descend from the House, causing
legislators to call for harmonization.
In early 2026, lawmakers signaled the potential
passage of a comprehensive AI law, the National
Digital Economy and E-Governance Bill, which
would govern high-risk systems by requiring
impact assessments, creating regulatory
sandboxes and providing increased enforcement
authority to regulators.
Nigeria released a Draft Code of Practice for AI in
July 2025 to address ethics, bias and transparency.","J Data Protection
Commission
J Federal Ministry of
Communication,
Innovation and Digital
Economy
J National Information
Technology Development
Agency
J Nigerian Communications
Commission","J Nigeria Data Protection
Regulation [IN FORCE]
J Nigeria Data Protection Act
[IN FORCE]
J Copyright Act [IN FORCE]
J Federal Competition and
Consumer Protection Act
[IN FORCE]
J Cybercrimes Act [IN FORCE]
J Communications Act
[IN FORCE]
J SEC Rule on Robo-Advisory
Services [IN FORCE]","• Nigeria adopted UNESCO’s Recommendation
on the Ethics of AI.
• Nigeria participated in the 2023 U.K. AI Summit,
which led to the Bletchley Declaration.
• In 2020, the Nigerian Communications
Commission released a research paper on the
ethical and societal impacts of AI.
• The Director General of Nigeria's National
Information Technology Development Agency
called for strategic AI leadership through
business integration and inclusive innovation.
• Nigeria joined the countries endorsing the Paris
Charter on Artificial Intelligence in February
2025.
• Nigeria signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",26,1,26,26,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Peru,"Peru has approved legislation around the use
of AI, including Law No. 31814, which promotes
innovation while balancing safeguards for
fundamental rights. The law follows the following
principles:
• Nondiscrimination
• Privacy
• Human oversight
• Transparency
• Sustainability
• Accountability
• Respect for IP rights
In addition, Peru has passed Law No. 32082, which
seeks to ensure that new technology like AI can
properly interoperate in consular offices.
Peru also developed a National AI Strategy that
aids in the promotion, development and adoption
of AI in the country.","J Secretariat of Government
and Digital Transformation
J Presidency of the Council
of Ministers
J National Directorate of
Intelligence
J Superintendence of
Banking, Insurance
and Pension Fund
Administration
J Ministry of Justice and
Human Rights
J National Authority for the
Protection of Personal Data
J National Authority for
Transparency, Access
to Public Information and
Protection of Personal Data","J Supreme Decree No. 157-
2021-PCM [IN FORCE]
J Supreme Decree No. 003-
2013-JUS [IN FORCE]
J Supreme Decree No. 016-
2024-JUS Regulation [IN FORCE]
J Law No. 29733, Personal Data
Protection Law [IN FORCE]
J Law of Transparency and
Access to Public Information
[IN FORCE]
J Finance Regulation for
Information Security and
Cybersecurity [IN FORCE]
J Cyber Defense Act, Law No.
30999
[IN FORCE]
J Computer Crime Act, Law No.
30096 [IN FORCE]
J Copyright Law, Legislative
Decree 822 [IN FORCE]","• Peru is a party to the OECD's AI principles. See
OECD AI principles and adherents.
• Peru adopted UNESCO’s Recommendation on
the Ethics of AI.
• See the National Digital Transformation Policy
for 2030.
• Peru's Financial Regulator released a
cybersecurity framework white paper in
conjunction with related regulators.",27,1,27,27,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Saudi Arabia,"Saudi Arabia has a National Strategy on Data
and AI, which envisions a welcoming, flexible and
stable regulatory ecosystem, including incentive
schemes, to attract AI companies, investors and
talents. According to the strategy, Saudi Arabia
aspires to be one of the leading economies
utilizing and exporting data and AI after 2030. The
Saudi Data and AI Authority published AI Ethics
Principles in September 2023.
Moreover, Saudi Arabia is ready to leverage its
""young and vibrant population"" and ""unique
centralized ecosystem."" The country hopes to
attract outside investment by hosting global AI
events and applying its influence as a tech hub
within the Middle East.
In April 2025, the Communications, Space and
Technology Commission issued a draft law on AI
aimed at fostering a collaborative environment
and creating the concept of ""data embassies.""","J Saudi Data and AI
Authority
J National Data
Management Office
J Ministry of
Communications and
Information Technology
J Communication, Space
Technology Commission","J Personal Data Protection Law
[IN FORCE]
J Data Management and
Personal Data Protection
Standards [IN FORCE]
J Children and Incompetents'
Data Protection Policy
[IN FORCE]
J Data Classification Policy
[IN FORCE]
J General Rules for the Transfer
of Personal Data outside the
Geographical Borders of the
Kingdom [IN FORCE]
J Data Sharing Policy [IN FORCE]
J Freedom of Information Policy
[IN FORCE]
J Open Data Policy [IN FORCE]","• Saudi Arabia is a party to the G20 AI Principles,
which are drawn from the OECD's AI principles.
See OECD AI principles and adherents.
• Saudi Arabia adopted UNESCO’s
Recommendation on the Ethics of AI.
• The government, in collaboration with the Saudi
Data and AI Authority, signed a memorandum of
understanding to create an AI center dedicated
to the energy sector.
• In January 2024, the Saudi Data and AI Authority
published two guidelines, one for government
employees, and one for the public. In September
2024, the SDAIA released for public comment a
set of deepfakes guidelines.
• In September 2024, the SDAIA signed a
memorandum of understanding with the OECD
to strengthen AI incident monitoring in the
Middle East by enabling OECD monitoring tools
to track data in Arabic. This measure ensures
that Arabic-speaking nations can effectively
leverage OECD's AI monitoring tools.
• Later in September, the SDAIA partneredwith
Microsoft to improve the availability of the
SDAIA's Arabic LLM on Microsoft Azure and
improve SDAIA's local talent initiatives.",28,1,28,28,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Singapore,"Singapore updated its National AI Strategy in 2023,
aiming to drive global innovation. Two key tenets
to Singapore's AI policy are advancing the field
and maximizing value creation, and raising up
individuals, businesses and communities to use AI
with confidence and trust.
Singapore has developed numerous voluntary
governance frameworks and initiatives for ethical
AI deployment, data management and sectoral
implementation, including:
• Model AI Governance Framework for
Generative AI.
• Model AI Governance Framework.
• Veritas Initiative, an implementation framework
for AI governance in the financial sector.
• AI Verify, a governance testing toolkit.
• Project Moonshot, a LLM evaluation toolkit.
• GenAI Sandbox for SMEs.
• IPOS International, part of the Intellectual
Property Office of Singapore that realizes
customized IP solutions.
• Proposed Advisory Guidelines on Use of
Personal Data in AI Recommendation and
Decision Systems.
• Principles to Promote Fairness, Ethics,
Accountability and Transparency in the Use of
AI and Data Analytics in Singapore's Financial
Sector.
• Project MindForge, a framework on the
responsible use of Gen AI in the Financial
Sector.
• Implementation and Self-Assessment Guide for
Organizations, a companion to the Model AI
Governance Framework
• Artificial Intelligence Model Risk Management,
a review of banks' AI management practices
• AI In Healthcare Guidelines
• Guide on the Use of Generative AI Tools by
Court Users
• Agentic AI Primer
• Starter Kit for Safety Testing of LLM-Based
Applications [DRAFT]","J AI Verify Foundation
J Smart Nation Digital
Government Group
J AI Ethics and Governance
Steering Committee
J Personal Data Protection
Commission
J Monetary Authority of
Singapore
J Infocomm Media
Development Authority
J Advisory Council on the
Ethical Use of AI and Data
J AI Safety Institute","J Personal Data Protection Act
[IN FORCE]
J Computer Misuse Act
[IN FORCE]
J Copyright Act [IN FORCE]
J Patents Act [IN FORCE]
J Competition Act [IN FORCE]
J Cybersecurity Act [IN FORCE]
J Protection from Online
Falsehoods and Manipulation
Act [IN FORCE]
J Road Traffic Act [IN FORCE]
J The Digital Economy
Partnership Agreement
[IN FORCE]","• Singapore is a party to the OECD's AI principles.
See OECD AI principles and adherents.
• Singapore participated in the 2023 U.K. AI
Summit, which led to the Bletchley Declaration.
• Singapore also adopted UNESCO's
Recommendation on the Ethics of AI.
• An initiative to make Singapore and U.S.
AI governance frameworks interoperable,
known as the ""crosswalk,"" was unveiled at the
inaugural U.S.-Singapore Dialogue on Critical
and Emerging Technologies. The crosswalk links
IMDA's AI Verify with the U.S. National Institute of
Standards and Technology's AI Risk Management
Framework.
• See the Primer to the Model AI Governance
Framework.
• See the Trusted Data Sharing Framework.
• See the Guide to Job Redesign in the Age of AI.
• Complementing the Model Framework and
AI Verify are two volumes of a Compendium
of Use Cases that show ""how local and
international organizations across different
sectors and sizes implemented or aligned their
AI governance practices with all sections of the
Model Framework.""
- Volume 1
- Volume 2
• Singapore has signed a variety of agreements
to cooperate on AI innovation and safety with
Australia and the EU AI Office.
• Singapore signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.
• The AI Assurance Pilot, a global initiative to
help codify emerging norms and best practices
around technical testing of Generative AI
applications, was launched by IMDA and the AI
Verify Foundation.
• Singapore hosted the Conference on AI and
released the Singapore Consensus on Global AI
Safety Research Priorities.",29|30,2,29,30,IAPP_Global_AI_Law_Policy_Tracker,2026-02
South Korea,"The South Korean legislature passed the AI Basic
Act, reinforced by enforcement decrees from
the MSICT. As the second-enacted national AI
comprehensive regulatory law, the legislation has
been analyzed in comparison to the EU AI Act.
While there are some similarities, such as
provisions for greater transparency, prior
notification to users, labeling of generative AI
outputs and specific measures for high-risk AI
systems, the law differs in important regards,
especially in the types of AI systems targeted and
the blanket obligations regardless of a system's
place in the AI value chain. Read the IAPP's full
analysis.
South Korea has numerous policy initiatives
regarding AI and technology under its National
Strategy for AI, including the AI Research and
Development Strategy, the Data Industry
Activation Strategy and the System Semiconductor
Strategy. The nation intends to leverage its high
education level, widespread acceptance of new
technology and preeminent IT infrastructure to
implement these initiatives.
Additionally, in August 2023, the Personal
Information Protection Commission published
guidance for the safe use of personal information
in the age of AI.","J Ministry of Science and ICT
J Personal Information
Protection Commission
J Media and
Communications
Commission
J Internet and Security
Agency
J Financial Services
Commission
J Fair Trade Commission
J National Information
Society Agency
J Korea AI Association
J AI Safety Institute","J Personal Information
Protection Act [IN FORCE]
J Monopoly Regulation and Fair
Trade Act [IN FORCE]
J Copyright Act [IN FORCE]
J Protection and Use of Location
Information Act [IN FORCE]
J Consumer Protection in
Electronic Commerce Act
[IN FORCE]
J Promotion of Information
and Communication Network
Utilization and Information
Protection Act [IN FORCE]
J Credit Information Use and
Protection Act [IN FORCE]
J Product Liability Act [IN FORCE]","• South Korea adopted UNESCO’s
Recommendation on the Ethics of AI.
• The Digital New Deal was created by the
South Korean government to promote both
educational and industrial efforts regarding AI
opportunities.
• See the AI Open Innovation Hub, a national AI
development support platform.
• South Korea published the draft Artificial
Intelligence Privacy Risk Assessment and
Management Model to provide guidance for
companies looking to develop AI and a guide to
synthetic data.
• South Korea committed themselves to building
out their AI infrastructure, including the world’s
highest-capacity AI data center.
• South Korea has blocked LLM DeepSeek from
operating across various ministries.
• South Korea signed the AI Action Summit joint
Statement on Inclusive and Sustainable Artificial
Intelligence for People and the Planet.",31,1,31,31,IAPP_Global_AI_Law_Policy_Tracker,2026-02
Taiwan,"Taiwan has embraced a holistic approach to
developing an AI environment. The government
executive passed a draft of its AI Basic Act,
which prioritizes innovation and technological
advancement. The act largely follows a risk-
based approach to regulating AI while also
emphasizing data protection, consumer rights and
transparency requirements.
Taiwan's government has issued the following
resources for policy guidance:
• National Science and Technology Council's
policy discussing AI innovation
• AI Taiwan Action Plan
• AI Taiwan Action Plan 2.0
• 2022 AI-Readiness Assessment Report","J Fair Trade Commission
J NSTC, previously the
Ministry of Science
and Technology
J Ministry of Health
and Welfare
J Executive Yuan of Taiwan
J Ministry of Digital Affairs
J Industrial Technology
Research Institute
J Taiwan AI Center
of Excellence","J Personal Data Protection Act
[IN FORCE]
J Fair Trade Act [IN FORCE]
J Cyber Security Management
Act [IN FORCE]
J Company Act [IN FORCE]
J Child and Youth Sexual
Exploitation Prevention Act
[IN FORCE]
J Copyright Act [IN FORCE]
J Patent Act [IN FORCE]
J Freedom of Government
Information Law [IN FORCE]
J Financial Technology
Development and Innovative
Experimentation Act [IN FORCE]
J FinTech Regulatory
Sandbox Guidance
J MoST AI Technology Research
and Development Guidelines
J Guidelines on the use of
Generative AI [DRAFT]","• See the Digital Nation and Innovative Economic
Development Program.
• See the 5+2 Innovative Industries Plan.
• See Taiwan AI Labs.
• See the country's Forward-looking
Infrastructure Development Program.
• See AI Literacy for All, a free education program
to enhance AI literacy.
• In November 2024, the U.S. Department of
Commerce ordered Taiwan Semiconductor
Manufacturing Company to cease shipping
advanced microchips used in AI applications to
Chinese customers after finding one such chip
in a Huawei AI processor. In September 2025,
the U.S. revoked TSMC's waiver to ship chip
supplies to its facility in Nanjing, China.
• Taiwan restricted the use of LLM DeepSeek by
public agencies and critical infrastructure based
on cybersecurity considerations, citing the fact
that such use could violate Guidelines for the
use of Generative AI.",32,1,32,32,IAPP_Global_AI_Law_Policy_Tracker,2026-02
