ordinal,column,kind,dtype,source_column,rol_mvp,subpregunta,transform_config,n_non_null,n_null,pct_null,unique_non_null
28,oecd_5_ict_business_oecd_biz_ai_pct,observed_core,float,oecd_5_ict_business_oecd_biz_ai_pct,Y_Q2_adoption,Q2,zscore,31,12,27.907,31
29,oecd_5_ict_business_oecd_biz_bigdata_pct,observed_core,float,oecd_5_ict_business_oecd_biz_bigdata_pct,Y_Q2_adoption,Q2,zscore,29,14,32.5581,29
30,oxford_public_sector_adoption,observed_core,float,oxford_public_sector_adoption,Y_Q2_adoption,Q2,zscore,43,0,0.0,43
31,oxford_ind_adoption_emerging_tech,observed_core,float,oxford_ind_adoption_emerging_tech,Y_Q2_adoption,Q2,zscore,43,0,0.0,42
32,wipo_out_score,observed_core,float,wipo_out_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
33,oxford_total_score,observed_core,float,oxford_total_score,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
34,wipo_gii_score,observed_core,float,wipo_gii_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
35,oxford_innovation_capacity,observed_core,float,oxford_innovation_capacity,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
36,oxford_ind_ai_research_papers_log,observed_core,float,oxford_ind_ai_research_papers_log,Y_Q3_innovation,Q3,zscore,43,0,0.0,42
37,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,observed_core,float,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,Y_Q3_innovation,Q3,zscore,26,17,39.5349,11
38,wb_patent_applications_residents,observed_core,float,wb_patent_applications_residents,Y_Q3_innovation,Q3,zscore,41,2,4.6512,41
39,wb_gdp_per_capita_ppp,observed_core,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
40,wb_internet_penetration,observed_core,float,wb_internet_penetration,X2_control,controls,zscore,42,1,2.3256,42
41,wb_tertiary_education_enrollment,observed_core,float,wb_tertiary_education_enrollment,X2_control,controls,zscore,41,2,4.6512,41
42,wb_rd_expenditure_pct_gdp,observed_core,float,wb_rd_expenditure_pct_gdp,X2_control,controls,zscore,42,1,2.3256,42
43,wb_researchers_rd_per_million,observed_core,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
44,wb_government_effectiveness,observed_core,float,wb_government_effectiveness,X2_control,controls,zscore,42,1,2.3256,42
45,wb_rule_of_law,observed_core,float,wb_rule_of_law,X2_control,controls,zscore,42,1,2.3256,42
46,wb_regulatory_quality,observed_core,float,wb_regulatory_quality,X2_control,controls,zscore,42,1,2.3256,42
47,wipo_in_score,observed_core,float,wipo_in_score,X2_control,controls,zscore,42,1,2.3256,42
48,wb_mobile_subscriptions_per100,observed_core,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
49,wb_secure_servers_per_1m,observed_core,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
50,wb_electric_consumption_kwh_pc,observed_core,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
51,oxford_e_government_delivery,observed_core,float,oxford_e_government_delivery,Y_Q6_public_sector,Q6,zscore,43,0,0.0,43
52,oxford_government_digital_policy,observed_core,float,oxford_government_digital_policy,Y_Q6_public_sector,Q6,zscore,43,0,0.0,42
53,oxford_ind_data_governance,observed_core,float,oxford_ind_data_governance,Y_Q6_public_sector,Q6,zscore,43,0,0.0,3
54,oxford_governance_ethics,observed_core,float,oxford_governance_ethics,Y_Q6_public_sector,Q6,zscore,43,0,0.0,43
55,oecd_2_indigo_oecd_indigo_score,observed_core,float,oecd_2_indigo_oecd_indigo_score,Y_Q6_public_sector,Q6,zscore,43,0,0.0,32
56,oecd_4_digital_gov_oecd_digital_gov_overall,observed_core,float,oecd_4_digital_gov_oecd_digital_gov_overall,Y_Q6_public_sector_aux,Q6,zscore,31,12,27.907,27
57,oxford_ind_ai_unicorns_log_log,log_transform,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,7
58,oxford_ind_non_ai_unicorns_log_log,log_transform,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
59,oxford_ind_vc_availability_log,log_transform,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
60,wb_fdi_net_inflows_log,log_transform,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
61,wb_gdp_per_capita_ppp_log,log_transform,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
62,wb_researchers_rd_per_million_log,log_transform,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
63,wb_mobile_subscriptions_per100_log,log_transform,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
64,wb_secure_servers_per_1m_log,log_transform,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
65,wb_electric_consumption_kwh_pc_log,log_transform,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
66,tr_ley_ia_vigente_z,robust_zscore,float,tr_ley_ia_vigente,X1_regulatory,all,none,43,0,0.0,1
67,tr_proyecto_ley_ia_z,robust_zscore,float,tr_proyecto_ley_ia,X1_regulatory,all,none,43,0,0.0,1
68,oxford_ind_company_investment_emerging_tech_z,robust_zscore,float,oxford_ind_company_investment_emerging_tech,Y_Q1_investment,Q1,zscore,43,0,0.0,40
69,oxford_ind_ai_unicorns_log_z,robust_zscore,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,1
70,oxford_ind_ai_unicorns_log_log_z,robust_zscore,float,oxford_ind_ai_unicorns_log_log,,,,43,0,0.0,1
71,oxford_ind_non_ai_unicorns_log_z,robust_zscore,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
72,oxford_ind_non_ai_unicorns_log_log_z,robust_zscore,float,oxford_ind_non_ai_unicorns_log_log,,,,43,0,0.0,17
73,oxford_ind_vc_availability_z,robust_zscore,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
74,oxford_ind_vc_availability_log_z,robust_zscore,float,oxford_ind_vc_availability_log,,,,43,0,0.0,29
75,wipo_c_vencapdeal_score_z,robust_zscore,float,wipo_c_vencapdeal_score,Y_Q1_investment,Q1,zscore,40,3,6.9767,37
76,wb_fdi_net_inflows_z,robust_zscore,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
77,wb_fdi_net_inflows_log_z,robust_zscore,float,wb_fdi_net_inflows_log,,,,42,1,2.3256,42
78,ms_h2_2025_ai_diffusion_pct_z,robust_zscore,float,ms_h2_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,38
79,ms_h1_2025_ai_diffusion_pct_z,robust_zscore,float,ms_h1_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,39
80,ms_change_pp_z,robust_zscore,float,ms_change_pp,Y_Q2_adoption,Q2,zscore,42,1,2.3256,20
81,anthropic_usage_pct_z,robust_zscore,float,anthropic_usage_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,42
82,anthropic_collaboration_pct_z,robust_zscore,float,anthropic_collaboration_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,1
83,oecd_5_ict_business_oecd_biz_ai_pct_z,robust_zscore,float,oecd_5_ict_business_oecd_biz_ai_pct,Y_Q2_adoption,Q2,zscore,31,12,27.907,31
84,oecd_5_ict_business_oecd_biz_bigdata_pct_z,robust_zscore,float,oecd_5_ict_business_oecd_biz_bigdata_pct,Y_Q2_adoption,Q2,zscore,29,14,32.5581,29
85,oxford_public_sector_adoption_z,robust_zscore,float,oxford_public_sector_adoption,Y_Q2_adoption,Q2,zscore,43,0,0.0,43
86,oxford_ind_adoption_emerging_tech_z,robust_zscore,float,oxford_ind_adoption_emerging_tech,Y_Q2_adoption,Q2,zscore,43,0,0.0,42
87,wipo_out_score_z,robust_zscore,float,wipo_out_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
88,oxford_total_score_z,robust_zscore,float,oxford_total_score,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
89,wipo_gii_score_z,robust_zscore,float,wipo_gii_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
90,oxford_innovation_capacity_z,robust_zscore,float,oxford_innovation_capacity,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
91,oxford_ind_ai_research_papers_log_z,robust_zscore,float,oxford_ind_ai_research_papers_log,Y_Q3_innovation,Q3,zscore,43,0,0.0,42
92,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications_z,robust_zscore,float,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,Y_Q3_innovation,Q3,zscore,26,17,39.5349,11
93,wb_patent_applications_residents_z,robust_zscore,float,wb_patent_applications_residents,Y_Q3_innovation,Q3,zscore,41,2,4.6512,41
94,wb_gdp_per_capita_ppp_z,robust_zscore,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
95,wb_gdp_per_capita_ppp_log_z,robust_zscore,float,wb_gdp_per_capita_ppp_log,,,,42,1,2.3256,42
96,wb_internet_penetration_z,robust_zscore,float,wb_internet_penetration,X2_control,controls,zscore,42,1,2.3256,42
97,wb_tertiary_education_enrollment_z,robust_zscore,float,wb_tertiary_education_enrollment,X2_control,controls,zscore,41,2,4.6512,41
98,wb_rd_expenditure_pct_gdp_z,robust_zscore,float,wb_rd_expenditure_pct_gdp,X2_control,controls,zscore,42,1,2.3256,42
99,wb_researchers_rd_per_million_z,robust_zscore,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
100,wb_researchers_rd_per_million_log_z,robust_zscore,float,wb_researchers_rd_per_million_log,,,,36,7,16.2791,36
101,wb_government_effectiveness_z,robust_zscore,float,wb_government_effectiveness,X2_control,controls,zscore,42,1,2.3256,42
102,wb_rule_of_law_z,robust_zscore,float,wb_rule_of_law,X2_control,controls,zscore,42,1,2.3256,42
103,wb_regulatory_quality_z,robust_zscore,float,wb_regulatory_quality,X2_control,controls,zscore,42,1,2.3256,42
104,wipo_in_score_z,robust_zscore,float,wipo_in_score,X2_control,controls,zscore,42,1,2.3256,42
105,wb_mobile_subscriptions_per100_z,robust_zscore,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
106,wb_mobile_subscriptions_per100_log_z,robust_zscore,float,wb_mobile_subscriptions_per100_log,,,,42,1,2.3256,42
107,wb_secure_servers_per_1m_z,robust_zscore,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
108,wb_secure_servers_per_1m_log_z,robust_zscore,float,wb_secure_servers_per_1m_log,,,,42,1,2.3256,42
109,wb_electric_consumption_kwh_pc_z,robust_zscore,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
110,wb_electric_consumption_kwh_pc_log_z,robust_zscore,float,wb_electric_consumption_kwh_pc_log,,,,42,1,2.3256,42
111,oxford_e_government_delivery_z,robust_zscore,float,oxford_e_government_delivery,Y_Q6_public_sector,Q6,zscore,43,0,0.0,43
112,oxford_government_digital_policy_z,robust_zscore,float,oxford_government_digital_policy,Y_Q6_public_sector,Q6,zscore,43,0,0.0,42
113,oxford_ind_data_governance_z,robust_zscore,float,oxford_ind_data_governance,Y_Q6_public_sector,Q6,zscore,43,0,0.0,1
114,oxford_governance_ethics_z,robust_zscore,float,oxford_governance_ethics,Y_Q6_public_sector,Q6,zscore,43,0,0.0,43
115,oecd_2_indigo_oecd_indigo_score_z,robust_zscore,float,oecd_2_indigo_oecd_indigo_score,Y_Q6_public_sector,Q6,zscore,43,0,0.0,32
116,oecd_4_digital_gov_oecd_digital_gov_overall_z,robust_zscore,float,oecd_4_digital_gov_oecd_digital_gov_overall,Y_Q6_public_sector_aux,Q6,zscore,31,12,27.907,27
117,n_binding,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,4
118,binding_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
119,n_non_binding,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,8
120,non_binding_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
121,n_hybrid,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,4
122,hybrid_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
123,regulatory_intensity,regulatory_aggregate,float,binding_taxonomy.yaml,,,,43,0,0.0,13
124,n_regulatory_mechanisms,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,9
