Figura,Titulo,Pagina_PDF,Pagina_doc,Tipo,Descripcion,Metrica_principal,Temporalidad_datos,Paises_cobertura,N_paises,Fuente_datos,Dato_descargable
Figure 11,AI benefits are perceived and seized differently across firms,27,26,Figura - radar / barras por propósito y tamaño,"Porcentaje de empresas usando IA por propósito principal y tamaño de empresa (pequeña, mediana, grande), EU27, 2024. Brechas en propósitos de ICT security, procesos de producción y gestión son más marcadas por tamaño que el promedio.",% empresas usando IA por propósito y tamaño de empresa (EU27 2024),2024,EU27 en agregado; sin desagregación por país,27,"Eurostat (2025), encuesta ICT-ENT 2024",Sí (Eurostat databrowser)
Figure 12,AI is expected to affect knowledge-intensive highly skilled occupations first,30,29,Figura - matriz exposición/complementariedad por ocupación,"Visualización de exposición a IA por tipo de ocupación según intensidad de conocimiento y complementariedad con IA. Muestra que a diferencia de revoluciones tecnológicas previas, la IA afecta primero a ocupaciones altamente calificadas en servicios intensivos en conocimiento.",~40% del empleo global expuesto a IA; economías avanzadas 60% expuestas; ~25% de trabajadores OECD expuestos a GenAI,Estimaciones basadas en literatura pre y post-GenAI (Cazzaniga 2024),Global (estimaciones); OECD en agregado,38,Cazzaniga (2024) IMF Staff Discussion Notes; síntesis de literatura,No (síntesis cualitativa)
Figure 13,AI will hit jobs and affect employment and income outcomes asymmetrically,31,30,Figura - scatter plot biplot (2 paneles),"Panel 1: Exposición a IA y complementariedad a nivel de ocupación en EE.UU. Panel 2: Exposición y complementariedad como porcentaje del empleo en países seleccionados, con diferenciación por género (mujeres más representadas en empleos de alta exposición y alta complementariedad).",Índice de exposición a IA vs. índice de complementariedad por ocupación; % empleo en cuadrantes de riesgo/oportunidad,Estimaciones recientes (literatura 2023-2024),"EE.UU. (Panel 1); países seleccionados OECD (Panel 2, no listados explícitamente)",10,Síntesis de literatura académica sobre AI labor market impact,No
Figure 14,AI is offering multiple applications across sectors,32,31,Figura - tabla visual / mapa de aplicaciones,"Matriz de aplicaciones de IA por sector de actividad. Cubre chatbots/asistentes virtuales (telecom, agencias de viaje), automatización de procesos robóticos (farmacia, electricidad), vehículos autónomos (automotriz, I+D científica), analítica de datos (S&T profesional). 75% de sistemas agentic interaccionan con interfaces informáticas.",% de sistemas agentic usados en interfaces informáticas: 75%; combinación de tecnologías por sector,Estimaciones recientes (Casper et al. 2025),OECD general (no desagregado por país),0,Authors síntesis; Casper et al. (2025) AI Agent Index,No
Figure 15,Agentic systems are increasingly deployed and across multiple domains,33,32,Figura - mapa de dominios de aplicación,"Visualización de los dominios en que se despliegan sistemas de IA agentic, incluyendo finanzas, salud, manufactura, logística, servicios profesionales. Muestra expansión cross-sectorial de sistemas con mayor autonomía decisional.",Número/distribución de dominios de aplicación de sistemas agentic; sin métricas cuantitativas país-específicas,Datos hasta 2025 (Casper et al. 2025),Global (sin desagregación por país),0,Casper et al. (2025) The AI Agent Index; arXiv:2502.01635,No
Figure 16,Robotics is increasingly leveraging AI,34,33,Figura - 2 paneles: mapa/barras densidad robots + serie temporal cobots,"Panel 1: Densidad de robots industriales en 2023 por países principales (robots/10,000 empleados). Panel 2: Participación de cobots (robots colaborativos) en la flota global 2017-2023. Corea del Sur y Singapur lideran densidad industrial. Robots de servicio: logística 56%, hospitalidad 27%.","Densidad robots industriales 2023 (robots/10,000 empleados): Corea y Singapur máximos globales; cobots como % de flota global 2017-2023",2017-2023 (cobots); 2023 (densidad industrial),"Global; destacan Corea del Sur, Singapur, Japón, Alemania, EE.UU. en densidad robótica",20,International Federation of Robotics (IFR) World Robotics 2024,Parcialmente (IFR website)
Figure 17,AI-specific barriers add to common innovation barriers to slow deployment,36-37,35,Figura - 2 paneles: barras por motivo y sector,"Panel 1 (p.35/PDF36): Motivos por los que empresas no usan IA (%), total EU27. Panel 2 (p.36/PDF37): % de empresas sin IA por motivo y sector seleccionado (manufactura, servicios intensivos conocimiento, otros servicios), EU27, 2024. Motivos: falta de expertise (7.1%), costos (4%), disponibilidad de datos, protección de datos, requisitos legales, consideraciones éticas, IA no útil.",7.1% empresas EU27 reportan falta de expertise como motivo para no usar IA; 4% por costos excesivos (2024),2024,EU27 en agregado; sin desagregación por país,27,"Eurostat (2025), encuesta ICT-ENT 2024","Sí (Eurostat databrowser, datos de barrera son opcionales en encuesta)"
Figure 18,Regions may face mounting cybersecurity and data protection risks in the AI transition,40,39,Figura - scatter plot regional,"Tasa de adopción de IA vs. prevalencia de brechas de seguridad digital en empresas (%), regiones NUTS2 EU27, 2024. Incidentes TIC incluyen: indisponibilidad de servicios, destrucción/corrupción de datos, divulgación de datos confidenciales. Empresas con 10+ empleados.",% regiones con incidentes TIC en 2023 vs. % empresas usando IA; regiones más lentas en adopción muestran mayor correlación con incidentes de seguridad,Adopción IA: 2024; incidentes TIC: 2023,"EU27, desagregado por regiones NUTS2",27,"Eurostat (2024) isoc_r_cisce_icn2 (incidentes de seguridad) y isoc_r_eb_ain2 (AI adoption), datos al 12 March 2025",Sí (Eurostat databrowser)
Figure 19,Industrial specialisation and local skills composition will shape AI diffusion,41,40,Figura - visualización de exposición local a IA por tipo de area,"Exposición a IA por tipo de área geográfica (ciudad, semi-densa, rural) e intensidad ocupacional. IA predictiva (pre-GenAI 2022): trabajadores urbanos europeos expuestos 4%, semi-denso 7.5%, rural 9%. GenAI: exposición varía de 16% en Guerrero (México) a valores más altos en regiones avanzadas.","Exposición laboral a IA predictiva: ciudades 4%, semi-densa 7.5%, rural 9% (Europa 2022); exposición GenAI desde 16% (Guerrero, México)",2022 (exposición predictiva AI); post-2022 (GenAI),Europa (países OECD/EU27); México (Guerrero como ejemplo),30,OECD (2024) Fostering inclusive digital transformation; estimaciones de literatura,Parcialmente
Figure 20,"Regions move to AI at different speeds, even in a same country and in a same sector",42,41,Figura - comparativas intra-país por sector,"Visualización de brechas de adopción de IA dentro de un mismo país y sector, mostrando dispersión intra-nacional. Ejemplos: España comercio wholesale/retail 1.9%-16.7%; Austria transporte/almacenamiento 1.5%-12.4%; Noruega ICT 9.2%-38.9%; Eslovaquia S&T profesional 2.6%-18.1%. En ICT España: Extremadura 90.5% vs. La Rioja 11.4%.",Rango de adopción IA intra-país por sector: España ICT Extremadura 90.5% vs. La Rioja 11.4%; Noruega ICT 9.2%-38.9%; Slovakia S&T 2.6%-18.1%,2024,"EU27: España, Austria, Noruega, Eslovaquia destacados con datos; regiones NUTS2",27,Eurostat (2024) isoc_r_eb_ain2; AI adoption by NACE and NUTS2 region,Sí (Eurostat databrowser)
Table 1,"How AI can change internal operations, cost structure and performance of the firm",23,22,Tabla cualitativa,"Tabla con funciones empresariales (Dirección/estrategia, Administración general incluyendo RR.HH./contabilidad/finanzas, Producción/operaciones, Logística, Marketing/ventas, I+D, Seguridad TIC, Sostenibilidad) y las mejoras/aplicaciones de IA en cada función.",Matriz cualitativa de aplicaciones por función; sin métricas cuantitativas,Sin datos temporales (conceptual),Sin cobertura geográfica (conceptual),0,Authors (Kergroach & Héritier),No
Table 2,AI to reduce local risks of occupational diseases,29,28,Tabla cualitativa,"Tabla con aplicaciones de IA para reducción de riesgos de enfermedades ocupacionales, incluyendo monitoreo en tiempo real del entorno de trabajo, diseño ergonómico de puestos, formación mediante simulaciones de riesgos laborales, diagnóstico de salud personalizado.",Aplicaciones cualitativas por tipo de riesgo ocupacional; sin métricas cuantitativas,Sin datos temporales (conceptual),Sin cobertura geográfica,0,Authors; literatura de salud ocupacional,No
Figure A D.1,"Global industrial and service robot fleet by sector of use, 2023",64,63,Figura de anexo - gráfico de sectores/barras,"Flota global de robots industriales y de servicio desagregada por sector de uso, 2023. Industrial: datos de proveedores mundiales vía IFR. Servicio: robots profesionales y de consumo (excluyendo robots domésticos de entretenimiento). Sectores: automotriz, electricidad/electrónica, metales/maquinaria, logística (56%), hospitalidad (27%).","N° robots por sector 2023; logística 56% de robots de servicio, hospitalidad 27%",2023,Global (flota mundial agregada; datos primarios de fabricantes + asociaciones nacionales),0,IFR World Robotics 2024; ISO 8373:ed-3 para definiciones,Parcialmente (IFR website)
Figure A E.1,Classification of service robots,65,64,Figura de anexo - árbol taxonómico,"Árbol de clasificación de robots de servicio según estándar ISO. Categorías principales: robots de servicio profesional (logística, construcción, agricultura, médico/quirúrgico, defensa, inspección) y de servicio personal (doméstico, entretenimiento, educación).",Taxonomía conceptual; sin métricas cuantitativas,Sin datos temporales (clasificación normativa ISO),Sin cobertura geográfica,0,ISO (2025) Robotics vocabulary ISO 8373:ed-3,No
