variable,hoja_destino,descripcion,entidad,tipo_valor,escala,anos_disponibles,framework,notas
govt_effectiveness,Consolidado + hojas de detalle,Efectividad del gobierno (World Bank),pais,float,0-100,2019,4_clusters,
ict_govt_vision,Consolidado + hojas de detalle,Importancia TIC en vision de gobierno (WEF NRI),pais,float,0-100,2019,4_clusters,
norm_privacy_laws,Consolidado + hojas de detalle,Normalizado (0-1): Privacy laws,pais,float,0-1,2019,4_clusters,
norm_ai_strategy,Consolidado + hojas de detalle,Normalizado (0-1): AI strategy,pais,float,0-1,2019,4_clusters,
norm_data_availability,Consolidado + hojas de detalle,Normalizado (0-1): Data availability,pais,float,0-1,2019,4_clusters,
norm_govt_procurement,Consolidado + hojas de detalle,Normalizado (0-1): Gov't procurement,pais,float,0-1,2019,4_clusters,
norm_data_capability,Consolidado + hojas de detalle,Normalizado (0-1): Data capability,pais,float,0-1,2019,4_clusters,
norm_technology_skills,Consolidado + hojas de detalle,Normalizado (0-1): Technology skills,pais,float,0-1,2019,4_clusters,
norm_log_ai_startups,Consolidado + hojas de detalle,Normalizado (0-1): Log AI startups,pais,float,0-1,2019,4_clusters,
norm_innovation_capability,Consolidado + hojas de detalle,Normalizado (0-1): Innovation capability,pais,float,0-1,2019,4_clusters,
norm_digital_public_services,Consolidado + hojas de detalle,Normalizado (0-1): Digital public services,pais,float,0-1,2019,4_clusters,
norm_govt_effectiveness,Consolidado + hojas de detalle,Normalizado (0-1): Govt effectiveness,pais,float,0-1,2019,4_clusters,
norm_ict_govt_vision,Consolidado + hojas de detalle,Normalizado (0-1): ICT govt vision,pais,float,0-1,2019,4_clusters,
avg_governance,Consolidado + hojas de detalle,Promedio cluster Governance (0-1),pais,float,0-1,2019,4_clusters,
avg_infrastructure_data,Consolidado + hojas de detalle,Promedio cluster Infrastructure and data (0-1),pais,float,0-1,2019,4_clusters,
avg_skills_education,Consolidado + hojas de detalle,Promedio cluster Skills and education (0-1),pais,float,0-1,2019,4_clusters,
avg_govt_public_services,Consolidado + hojas de detalle,Promedio cluster Government and public services (0-1),pais,float,0-1,2019,4_clusters,
government,Consolidado + hojas de detalle,Pilar Government (0-100). Capacidad gubernamental para IA,pais,float,0-100,2020-2024,3_pillars_10_dims,
technology_sector,Consolidado + hojas de detalle,Pilar Technology Sector (0-100). Madurez del ecosistema tecnologico,pais,float,0-100,2020-2024,3_pillars_10_dims,
data_infrastructure,Consolidado + hojas de detalle,Pilar Data and Infrastructure (0-100). Datos e infraestructura,pais,float,0-100,2020-2024,3_pillars_10_dims,
vision,Consolidado + hojas de detalle,Dimension Vision (0-100). Estrategia nacional IA,pais,float,0-100,2020-2024,3_pillars_10_dims,
governance_ethics,Consolidado + hojas de detalle,Dimension Governance and Ethics (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
digital_capacity,Consolidado + hojas de detalle,Dimension Digital Capacity (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
adaptability,Consolidado + hojas de detalle,Dimension Adaptability (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
size,Consolidado + hojas de detalle,"Dimension Size (0-100, solo 2020-2021). Renombrada a maturity desde 2022",pais,float,0-100,2020-2021,3_pillars_10_dims,
maturity,Consolidado + hojas de detalle,"Dimension Maturity (0-100, desde 2022). Antes llamada Size",pais,float,0-100,2022-2024,3_pillars_10_dims,
innovation_capacity,Consolidado + hojas de detalle,Dimension Innovation Capacity (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
human_capital,Consolidado + hojas de detalle,Dimension Human Capital (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
infrastructure,Consolidado + hojas de detalle,Dimension Infrastructure (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
data_availability,Consolidado + hojas de detalle,Dimension Data Availability (0-100),pais,float,0-100,2020-2024,3_pillars_10_dims,
data_representativeness,Consolidado + hojas de detalle,Dimension Data Representativeness (0-100). Tiene missing en 2020-2023,pais,float,0-100,2020-2024,3_pillars_10_dims,
ranking_detail,Consolidado + hojas de detalle,Ranking dentro de detailed scores 2024. 82 missing (solo 106 paises rankeados),pais,float,ordinal (1=N),2024,3_pillars_10_dims,
policy_capacity,Consolidado + hojas de detalle,Pilar Policy Capacity (0-100). Capacidad de diseno politico IA,pais,float,0-100,2025,6_pillars_14_dims,
ai_infrastructure,Consolidado + hojas de detalle,Pilar AI Infrastructure (0-100). Condiciones tecnicas para IA,pais,float,0-100,2025,6_pillars_14_dims,
governance_2025,Consolidado + hojas de detalle,Pilar Governance (0-100). Marco de gobernanza IA (nota: distinto del pilar Government 2020-2024),pais,float,0-100,2025,6_pillars_14_dims,
public_sector_adoption,Consolidado + hojas de detalle,Pilar Public Sector Adoption (0-100). Adopcion IA en sector publico,pais,float,0-100,2025,6_pillars_14_dims,
development_diffusion,Consolidado + hojas de detalle,Pilar Development and Diffusion (0-100). Desarrollo y difusion IA,pais,float,0-100,2025,6_pillars_14_dims,
resilience,Consolidado + hojas de detalle,Pilar Resilience (0-100). Resiliencia ante impactos de IA,pais,float,0-100,2025,6_pillars_14_dims,
policy_vision,Consolidado + hojas de detalle,Dimension Policy vision (0-100),pais,float,0-100,2025,6_pillars_14_dims,
policy_commitment,Consolidado + hojas de detalle,Dimension Policy commitment (0-100),pais,float,0-100,2025,6_pillars_14_dims,
compute_capacity,Consolidado + hojas de detalle,Dimension Compute capacity (0-100),pais,float,0-100,2025,6_pillars_14_dims,
enabling_technical_infrastructure,Consolidado + hojas de detalle,Dimension Enabling technical infrastructure (0-100),pais,float,0-100,2025,6_pillars_14_dims,
data_quality,Consolidado + hojas de detalle,Dimension Data quality (0-100),pais,float,0-100,2025,6_pillars_14_dims,
governance_principles,Consolidado + hojas de detalle,Dimension Governance principles (0-100),pais,float,0-100,2025,6_pillars_14_dims,
regulatory_compliance,Consolidado + hojas de detalle,Dimension Regulatory compliance (0-100),pais,float,0-100,2025,6_pillars_14_dims,
government_digital_policy,Consolidado + hojas de detalle,Dimension Government digital policy (0-100),pais,float,0-100,2025,6_pillars_14_dims,
e_government_delivery,Consolidado + hojas de detalle,Dimension e-Government delivery (0-100),pais,float,0-100,2025,6_pillars_14_dims,
human_capital_2025,Consolidado + hojas de detalle,Dimension Human capital (0-100). Nota: distinto de human_capital 2020-2024,pais,float,0-100,2025,6_pillars_14_dims,
ai_sector_maturity,Consolidado + hojas de detalle,Dimension AI sector maturity (0-100),pais,float,0-100,2025,6_pillars_14_dims,
ai_technology_diffusion,Consolidado + hojas de detalle,Dimension AI technology diffusion (0-100),pais,float,0-100,2025,6_pillars_14_dims,
societal_transition,Consolidado + hojas de detalle,Dimension Societal transition (0-100),pais,float,0-100,2025,6_pillars_14_dims,
safety_security,Consolidado + hojas de detalle,Dimension Safety and security (0-100),pais,float,0-100,2025,6_pillars_14_dims,
ind_ai_strategy,Consolidado + hojas de detalle,"Indicador: AI strategy (0-100, ternario)",pais,float,0-100,2023,3_pillars_10_dims,
ind_data_protection_laws,Consolidado + hojas de detalle,Indicador: Data protection and privacy laws (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_cybersecurity,Consolidado + hojas de detalle,Indicador: Cybersecurity (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_regulatory_quality,Consolidado + hojas de detalle,Indicador: Regulatory quality (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ethical_principles,Consolidado + hojas de detalle,"Indicador: Ethical principles (0-100, ternario)",pais,float,0-100,2023,3_pillars_10_dims,
ind_accountability,Consolidado + hojas de detalle,Indicador: Accountability (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_online_services,Consolidado + hojas de detalle,Indicador: Online services (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_foundational_it,Consolidado + hojas de detalle,Indicador: Foundational IT infrastructure (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_govt_promotion_emerging_tech,Consolidado + hojas de detalle,Indicador: Govt Promotion of Investment in Emerging Tech (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_govt_effectiveness,Consolidado + hojas de detalle,Indicador: Government Effectiveness (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_govt_responsiveness,Consolidado + hojas de detalle,Indicador: Government responsiveness to change (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_procurement_data,Consolidado + hojas de detalle,Indicador: Procurement Data (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ai_unicorns_log,Consolidado + hojas de detalle,Indicador: Number of AI Unicorns log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_non_ai_unicorns_log,Consolidado + hojas de detalle,Indicador: Number of non-AI Unicorns log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ict_trade_services_log,Consolidado + hojas de detalle,Indicador: Value of trade in ICT services per capita log (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ict_trade_goods_log,Consolidado + hojas de detalle,Indicador: Value of trade in ICT goods per capita log (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_software_spending,Consolidado + hojas de detalle,Indicador: Computer software spending (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_time_govt_regulations,Consolidado + hojas de detalle,Indicador: Time spent dealing with govt regulations (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_vc_availability,Consolidado + hojas de detalle,Indicador: VC availability (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_rd_spending_log,Consolidado + hojas de detalle,Indicador: R&D Spending log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_company_investment_emerging_tech,Consolidado + hojas de detalle,Indicador: Company investment in emerging technology (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ai_research_papers_log,Consolidado + hojas de detalle,Indicador: AI research papers log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_stem_graduates,Consolidado + hojas de detalle,Indicador: Graduates in STEM or computer science (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_github_activity_log,Consolidado + hojas de detalle,Indicador: Github Activity log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_female_stem_graduates,Consolidado + hojas de detalle,Indicador: Female STEM Graduates (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_eng_tech_higher_ed_quality,Consolidado + hojas de detalle,Indicador: Quality of Engineering and Technology Higher Ed (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_ict_skills,Consolidado + hojas de detalle,Indicador: ICT skills (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_telecom_infrastructure,Consolidado + hojas de detalle,Indicador: Telecommunications Infrastructure (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_supercomputers_log,Consolidado + hojas de detalle,Indicador: Supercomputers log transformation (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_broadband_quality,Consolidado + hojas de detalle,Indicador: Broadband Quality (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_5g_infrastructure,Consolidado + hojas de detalle,"Indicador: 5G Infrastructure (0-100, binario)",pais,float,0-100,2023,3_pillars_10_dims,
ind_adoption_emerging_tech,Consolidado + hojas de detalle,Indicador: Adoption of Emerging Technologies (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_open_data,Consolidado + hojas de detalle,Indicador: Open Data (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_data_governance,Consolidado + hojas de detalle,"Indicador: Data governance (0-100, ternario)",pais,float,0-100,2023,3_pillars_10_dims,
ind_mobile_subscriptions,Consolidado + hojas de detalle,Indicador: Mobile-cellular telephone subscriptions (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_households_internet,Consolidado + hojas de detalle,Indicador: Households with internet access (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_statistical_capacity,Consolidado + hojas de detalle,Indicador: Statistical Capacity (0-100),pais,float,0-100,2023,3_pillars_10_dims,
ind_cost_internet_device,Consolidado + hojas de detalle,"Indicador: Cost of cheapest internet-enabled device (0-100, invertido)",pais,float,0-100,2023,3_pillars_10_dims,
ind_gender_gap_internet,Consolidado + hojas de detalle,"Indicador: Gender gap in internet access (0-100, 100=sin brecha)",pais,float,0-100,2023,3_pillars_10_dims,
rank_global,Consolidado + hojas de detalle,Ranking global en 2019 (hoja Rankings),pais,int,ordinal (1=N),2019,4_clusters,
score_global,Consolidado + hojas de detalle,"Score global en 2019 (hoja Rankings, escala 0-10)",pais,float,0-10,2019,4_clusters,
rank_asia_pacific,Consolidado + hojas de detalle,Ranking regional Asia-Pacific en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_asia_pacific,Consolidado + hojas de detalle,Score regional Asia-Pacific en 2019,pais,float,0-10,2019,4_clusters,
rank_africa,Consolidado + hojas de detalle,Ranking regional Africa en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_africa,Consolidado + hojas de detalle,Score regional Africa en 2019,pais,float,0-10,2019,4_clusters,
rank_latam,Consolidado + hojas de detalle,Ranking regional Latin America and Caribbean en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_latam,Consolidado + hojas de detalle,Score regional Latin America and Caribbean en 2019,pais,float,0-10,2019,4_clusters,
rank_north_america,Consolidado + hojas de detalle,Ranking regional North America en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_north_america,Consolidado + hojas de detalle,Score regional North America en 2019,pais,float,0-10,2019,4_clusters,
rank_eastern_europe,Consolidado + hojas de detalle,Ranking regional Eastern Europe en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_eastern_europe,Consolidado + hojas de detalle,Score regional Eastern Europe en 2019,pais,float,0-10,2019,4_clusters,
rank_australasia,Consolidado + hojas de detalle,Ranking regional Australia/NZ en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_australasia,Consolidado + hojas de detalle,Score regional Australia/NZ en 2019,pais,float,0-10,2019,4_clusters,
rank_western_europe,Consolidado + hojas de detalle,Ranking regional Western Europe en 2019,pais,float,ordinal (1=N),2019,4_clusters,
score_western_europe,Consolidado + hojas de detalle,Score regional Western Europe en 2019,pais,float,0-10,2019,4_clusters,
region_pertenece,Consolidado + hojas de detalle,Region a la que pertenece el pais segun Oxford Insights 2019,pais,string,string,2019,4_clusters,
