iso3,country_name_canonical,tr_ley_ia_vigente,tr_proyecto_ley_ia,cluster_hca,cluster_kmeans,analysis_scope,validation_scope,holdout_used,score_scope,independent_prediction,causal_claim
ITA,Italy,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
BGR,Bulgaria,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
FIN,Finland,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CRI,Costa Rica,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CHL,Chile,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
USA,United States,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
CHN,China,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
IND,India,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
JPN,Japan,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
EST,Estonia,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
ARG,Argentina,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
BRA,Brazil,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
COL,Colombia,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
MEX,Mexico,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
PER,Peru,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
URY,Uruguay,0.0,0.0,1,1,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
GRC,Greece,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
ROU,Romania,0.0,1.0,0,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
HRV,Croatia,0.0,1.0,3,0,full_preregistered_sample_unsupervised,cluster_internal_silhouette_not_external_test,False,descriptive_regulatory_typology,False,False
