variable_matriz,source_id,table_id,original_variable,tipo_original,tipo_matriz,unit,direction,bloque_tematico,regla_temporal_default,regla_transformacion,is_primary,redundant_with,pct_complete,n_countries_available,fase4_role,included_in_fase4_eda,known_limitations,human_review_status,notes,fuente,tipo,bloque,descripcion_larga
iapp_sandbox_regulatorio,iapp,datos,sandbox_regulatorio,binary,binary,binary,higher_better,regulatory_treatment,cross_section,raw_value_no_imputation,True,,14.07,28.0,core_eda,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
ms_change_pp,microsoft,1_AI_Diffusion,Change (pp),pct,numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,raw_value_no_imputation,True,,73.37,146.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
ms_h1_2025_ai_diffusion_pct,microsoft,1_AI_Diffusion,H1 2025 AI Diffusion (%),pct,numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,raw_value_no_imputation,True,,73.37,146.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
ms_h2_2025_ai_diffusion_pct,microsoft,1_AI_Diffusion,H2 2025 AI Diffusion (%),pct,numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,raw_value_no_imputation,True,,73.37,146.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_e_transactions,oecd,1_DIGITAL_STRI,digital_stri_e_transactions,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_infrastructure,oecd,1_DIGITAL_STRI,digital_stri_infrastructure,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_ip,oecd,1_DIGITAL_STRI,digital_stri_ip,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_other,oecd,1_DIGITAL_STRI,digital_stri_other,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_overall,oecd,1_DIGITAL_STRI,digital_stri_overall,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_1_digital_stri_digital_stri_payment,oecd,1_DIGITAL_STRI,digital_stri_payment,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,64.32,128.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_2_indigo_oecd_indigo_score,oecd,2_INDIGO,oecd_indigo_score,score_0_100,numeric,score_0_100,higher_better,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,95.98,191.0,supporting_context,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,oecd,3_REGULATORY_GOV,oecd_reg_gov_ex_post_eval,count,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,21.61,43.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_3_regulatory_gov_oecd_reg_gov_ria,oecd,3_REGULATORY_GOV,oecd_reg_gov_ria,count,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,20.6,41.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,oecd,3_REGULATORY_GOV,oecd_reg_gov_stakeholder,count,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,20.6,41.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_data_driven,oecd,4_DIGITAL_GOV,oecd_digital_gov_data_driven,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_design,oecd,4_DIGITAL_GOV,oecd_digital_gov_design,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_open_data,oecd,4_DIGITAL_GOV,oecd_digital_gov_open_data,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_overall,oecd,4_DIGITAL_GOV,oecd_digital_gov_overall,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_policy,oecd,4_DIGITAL_GOV,oecd_digital_gov_policy,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_proactiveness,oecd,4_DIGITAL_GOV,oecd_digital_gov_proactiveness,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_digital_gov_user_driven,oecd,4_DIGITAL_GOV,oecd_digital_gov_user_driven,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_4_digital_gov_oecd_open_gov_data,oecd,4_DIGITAL_GOV,oecd_open_gov_data,count,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,20.1,40.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_ai_pct,oecd,5_ICT_BUSINESS,oecd_biz_ai_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_bigdata_pct,oecd,5_ICT_BUSINESS,oecd_biz_bigdata_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,18.09,36.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_cloud_pct,oecd,5_ICT_BUSINESS,oecd_biz_cloud_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,19.1,38.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_ict_specialists_pct,oecd,5_ICT_BUSINESS,oecd_biz_ict_specialists_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,18.09,36.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_iot_pct,oecd,5_ICT_BUSINESS,oecd_biz_iot_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,18.09,36.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_5_ict_business_oecd_biz_website_pct,oecd,5_ICT_BUSINESS,oecd_biz_website_pct,pct,numeric,pct,unknown,adoption_diffusion,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,18.09,36.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,oecd,6_FDI_RESTRICTIVENESS,oecd_fdi_restrictiveness,count,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,51.76,103.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_7_pmr_oecd_pmr_overall,oecd,7_PMR,oecd_pmr_overall,count,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,27.64,55.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,oecd,8_RD_TAX,oecd_rd_tax_subsidy_rate,count,numeric,count,unknown,socioeconomic_control,latest_available_per_country_per_indicator,raw_value_no_imputation,True,,26.13,52.0,supporting_context,True,low_coverage_under_30pct_requires_fase4_caution,review_required_low_coverage,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_adaptability,oxford,Consolidado,adaptability,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ai_infrastructure,oxford,Consolidado,ai_infrastructure,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ai_sector_maturity,oxford,Consolidado,ai_sector_maturity,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ai_technology_diffusion,oxford,Consolidado,ai_technology_diffusion,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_compute_capacity,oxford,Consolidado,compute_capacity,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_data_availability,oxford,Consolidado,data_availability,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_data_infrastructure,oxford,Consolidado,data_infrastructure,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_data_quality,oxford,Consolidado,data_quality,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_data_representativeness,oxford,Consolidado,data_representativeness,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.48,192.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_development_diffusion,oxford,Consolidado,development_diffusion,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_digital_capacity,oxford,Consolidado,digital_capacity,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_e_government_delivery,oxford,Consolidado,e_government_delivery,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_enabling_technical_infrastructure,oxford,Consolidado,enabling_technical_infrastructure,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_governance_2025,oxford,Consolidado,governance_2025,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_governance_ethics,oxford,Consolidado,governance_ethics,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_governance_principles,oxford,Consolidado,governance_principles,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_government,oxford,Consolidado,government,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_government_digital_policy,oxford,Consolidado,government_digital_policy,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_human_capital,oxford,Consolidado,human_capital,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_human_capital_2025,oxford,Consolidado,human_capital_2025,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,97.99,195.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_5g_infrastructure,oxford,Consolidado,ind_5g_infrastructure,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_accountability,oxford,Consolidado,ind_accountability,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_adoption_emerging_tech,oxford,Consolidado,ind_adoption_emerging_tech,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,92.46,184.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_ai_research_papers_log,oxford,Consolidado,ind_ai_research_papers_log,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_ai_strategy,oxford,Consolidado,ind_ai_strategy,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_ai_unicorns_log,oxford,Consolidado,ind_ai_unicorns_log,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_broadband_quality,oxford,Consolidado,ind_broadband_quality,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,92.46,184.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_company_investment_emerging_tech,oxford,Consolidado,ind_company_investment_emerging_tech,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,92.46,184.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_cost_internet_device,oxford,Consolidado,ind_cost_internet_device,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,95.98,191.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_cybersecurity,oxford,Consolidado,ind_cybersecurity,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_data_governance,oxford,Consolidado,ind_data_governance,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.98,193.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
oxford_ind_data_protection_laws,oxford,Consolidado,ind_data_protection_laws,score_0_100,numeric,score_0_100,higher_better,ecosystem_outcome,latest_year_per_country,raw_value_no_imputation,True,,96.48,192.0,core_eda,True,,approved_by_methodological_rules,generated from real source columns; no synthetic values; no Fase 3 imputation,,,,
