ordinal,column,kind,dtype,source_column,rol_mvp,subpregunta,transform_config,n_non_null,n_null,pct_null,unique_non_null
28,anthropic_usage_pct,observed_core,float,anthropic_usage_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,42
29,anthropic_collaboration_pct,observed_core,float,anthropic_collaboration_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,2
30,oecd_5_ict_business_oecd_biz_ai_pct,observed_core,float,oecd_5_ict_business_oecd_biz_ai_pct,Y_Q2_adoption,Q2,zscore,31,12,27.907,31
31,oecd_5_ict_business_oecd_biz_bigdata_pct,observed_core,float,oecd_5_ict_business_oecd_biz_bigdata_pct,Y_Q2_adoption,Q2,zscore,29,14,32.5581,29
32,oxford_public_sector_adoption,observed_core,float,oxford_public_sector_adoption,Y_Q2_adoption,Q2,zscore,43,0,0.0,43
33,oxford_ind_adoption_emerging_tech,observed_core,float,oxford_ind_adoption_emerging_tech,Y_Q2_adoption,Q2,zscore,43,0,0.0,42
34,wipo_out_score,observed_core,float,wipo_out_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
35,oxford_total_score,observed_core,float,oxford_total_score,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
36,wipo_gii_score,observed_core,float,wipo_gii_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
37,oxford_innovation_capacity,observed_core,float,oxford_innovation_capacity,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
38,oxford_ind_ai_research_papers_log,observed_core,float,oxford_ind_ai_research_papers_log,Y_Q3_innovation,Q3,zscore,43,0,0.0,42
39,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,observed_core,float,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,Y_Q3_innovation,Q3,zscore,26,17,39.5349,11
40,wb_patent_applications_residents,observed_core,float,wb_patent_applications_residents,Y_Q3_innovation,Q3,zscore,41,2,4.6512,41
41,wb_gdp_per_capita_ppp,observed_core,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
42,wb_internet_penetration,observed_core,float,wb_internet_penetration,X2_control,controls,zscore,42,1,2.3256,42
43,wb_tertiary_education_enrollment,observed_core,float,wb_tertiary_education_enrollment,X2_control,controls,zscore,41,2,4.6512,41
44,wb_rd_expenditure_pct_gdp,observed_core,float,wb_rd_expenditure_pct_gdp,X2_control,controls,zscore,42,1,2.3256,42
45,wb_researchers_rd_per_million,observed_core,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
46,wb_government_effectiveness,observed_core,float,wb_government_effectiveness,X2_control,controls,zscore,42,1,2.3256,42
47,wb_rule_of_law,observed_core,float,wb_rule_of_law,X2_control,controls,zscore,42,1,2.3256,42
48,wb_regulatory_quality,observed_core,float,wb_regulatory_quality,X2_control,controls,zscore,42,1,2.3256,42
49,wipo_in_score,observed_core,float,wipo_in_score,X2_control,controls,zscore,42,1,2.3256,42
50,wb_mobile_subscriptions_per100,observed_core,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
51,wb_secure_servers_per_1m,observed_core,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
52,wb_electric_consumption_kwh_pc,observed_core,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
53,oxford_ind_ai_unicorns_log_log,log_transform,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,7
54,oxford_ind_non_ai_unicorns_log_log,log_transform,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
55,oxford_ind_vc_availability_log,log_transform,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
56,wb_fdi_net_inflows_log,log_transform,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
57,wb_gdp_per_capita_ppp_log,log_transform,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
58,wb_researchers_rd_per_million_log,log_transform,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
59,wb_mobile_subscriptions_per100_log,log_transform,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
60,wb_secure_servers_per_1m_log,log_transform,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
61,wb_electric_consumption_kwh_pc_log,log_transform,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
62,iapp_ley_ia_vigente_z,robust_zscore,float,iapp_ley_ia_vigente,X1_regulatory,all,none,18,25,58.1395,1
63,iapp_proyecto_ley_ia_z,robust_zscore,float,iapp_proyecto_ley_ia,X1_regulatory,all,none,18,25,58.1395,1
64,iapp_n_leyes_relacionadas_z,robust_zscore,float,iapp_n_leyes_relacionadas,X1_regulatory,all,zscore,18,25,58.1395,8
65,iapp_n_autoridades_z,robust_zscore,float,iapp_n_autoridades,X1_regulatory,all,zscore,18,25,58.1395,8
66,oxford_ind_company_investment_emerging_tech_z,robust_zscore,float,oxford_ind_company_investment_emerging_tech,Y_Q1_investment,Q1,zscore,43,0,0.0,40
67,oxford_ind_ai_unicorns_log_z,robust_zscore,float,oxford_ind_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,1
68,oxford_ind_ai_unicorns_log_log_z,robust_zscore,float,oxford_ind_ai_unicorns_log_log,,,,43,0,0.0,1
69,oxford_ind_non_ai_unicorns_log_z,robust_zscore,float,oxford_ind_non_ai_unicorns_log,Y_Q1_investment,Q1,log_zscore,43,0,0.0,17
70,oxford_ind_non_ai_unicorns_log_log_z,robust_zscore,float,oxford_ind_non_ai_unicorns_log_log,,,,43,0,0.0,17
71,oxford_ind_vc_availability_z,robust_zscore,float,oxford_ind_vc_availability,Y_Q1_investment,Q1,log_zscore,43,0,0.0,29
72,oxford_ind_vc_availability_log_z,robust_zscore,float,oxford_ind_vc_availability_log,,,,43,0,0.0,29
73,wipo_c_vencapdeal_score_z,robust_zscore,float,wipo_c_vencapdeal_score,Y_Q1_investment,Q1,zscore,40,3,6.9767,37
74,wb_fdi_net_inflows_z,robust_zscore,float,wb_fdi_net_inflows,Y_Q1_or_control,Q1,signed_log_zscore,42,1,2.3256,42
75,wb_fdi_net_inflows_log_z,robust_zscore,float,wb_fdi_net_inflows_log,,,,42,1,2.3256,42
76,ms_h2_2025_ai_diffusion_pct_z,robust_zscore,float,ms_h2_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,38
77,ms_h1_2025_ai_diffusion_pct_z,robust_zscore,float,ms_h1_2025_ai_diffusion_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,39
78,ms_change_pp_z,robust_zscore,float,ms_change_pp,Y_Q2_adoption,Q2,zscore,42,1,2.3256,20
79,anthropic_usage_pct_z,robust_zscore,float,anthropic_usage_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,42
80,anthropic_collaboration_pct_z,robust_zscore,float,anthropic_collaboration_pct,Y_Q2_adoption,Q2,zscore,42,1,2.3256,1
81,oecd_5_ict_business_oecd_biz_ai_pct_z,robust_zscore,float,oecd_5_ict_business_oecd_biz_ai_pct,Y_Q2_adoption,Q2,zscore,31,12,27.907,31
82,oecd_5_ict_business_oecd_biz_bigdata_pct_z,robust_zscore,float,oecd_5_ict_business_oecd_biz_bigdata_pct,Y_Q2_adoption,Q2,zscore,29,14,32.5581,29
83,oxford_public_sector_adoption_z,robust_zscore,float,oxford_public_sector_adoption,Y_Q2_adoption,Q2,zscore,43,0,0.0,43
84,oxford_ind_adoption_emerging_tech_z,robust_zscore,float,oxford_ind_adoption_emerging_tech,Y_Q2_adoption,Q2,zscore,43,0,0.0,42
85,wipo_out_score_z,robust_zscore,float,wipo_out_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
86,oxford_total_score_z,robust_zscore,float,oxford_total_score,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
87,wipo_gii_score_z,robust_zscore,float,wipo_gii_score,Y_Q3_innovation,Q3,zscore,42,1,2.3256,42
88,oxford_innovation_capacity_z,robust_zscore,float,oxford_innovation_capacity,Y_Q3_innovation,Q3,zscore,43,0,0.0,43
89,oxford_ind_ai_research_papers_log_z,robust_zscore,float,oxford_ind_ai_research_papers_log,Y_Q3_innovation,Q3,zscore,43,0,0.0,42
90,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications_z,robust_zscore,float,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,Y_Q3_innovation,Q3,zscore,26,17,39.5349,11
91,wb_patent_applications_residents_z,robust_zscore,float,wb_patent_applications_residents,Y_Q3_innovation,Q3,zscore,41,2,4.6512,41
92,wb_gdp_per_capita_ppp_z,robust_zscore,float,wb_gdp_per_capita_ppp,X2_control,controls,log_zscore,42,1,2.3256,42
93,wb_gdp_per_capita_ppp_log_z,robust_zscore,float,wb_gdp_per_capita_ppp_log,,,,42,1,2.3256,42
94,wb_internet_penetration_z,robust_zscore,float,wb_internet_penetration,X2_control,controls,zscore,42,1,2.3256,42
95,wb_tertiary_education_enrollment_z,robust_zscore,float,wb_tertiary_education_enrollment,X2_control,controls,zscore,41,2,4.6512,41
96,wb_rd_expenditure_pct_gdp_z,robust_zscore,float,wb_rd_expenditure_pct_gdp,X2_control,controls,zscore,42,1,2.3256,42
97,wb_researchers_rd_per_million_z,robust_zscore,float,wb_researchers_rd_per_million,X2_control,controls,log_zscore,36,7,16.2791,36
98,wb_researchers_rd_per_million_log_z,robust_zscore,float,wb_researchers_rd_per_million_log,,,,36,7,16.2791,36
99,wb_government_effectiveness_z,robust_zscore,float,wb_government_effectiveness,X2_control,controls,zscore,42,1,2.3256,42
100,wb_rule_of_law_z,robust_zscore,float,wb_rule_of_law,X2_control,controls,zscore,42,1,2.3256,42
101,wb_regulatory_quality_z,robust_zscore,float,wb_regulatory_quality,X2_control,controls,zscore,42,1,2.3256,42
102,wipo_in_score_z,robust_zscore,float,wipo_in_score,X2_control,controls,zscore,42,1,2.3256,42
103,wb_mobile_subscriptions_per100_z,robust_zscore,float,wb_mobile_subscriptions_per100,X2_control,controls,log_zscore,42,1,2.3256,42
104,wb_mobile_subscriptions_per100_log_z,robust_zscore,float,wb_mobile_subscriptions_per100_log,,,,42,1,2.3256,42
105,wb_secure_servers_per_1m_z,robust_zscore,float,wb_secure_servers_per_1m,X2_control,controls,log_zscore,42,1,2.3256,42
106,wb_secure_servers_per_1m_log_z,robust_zscore,float,wb_secure_servers_per_1m_log,,,,42,1,2.3256,42
107,wb_electric_consumption_kwh_pc_z,robust_zscore,float,wb_electric_consumption_kwh_pc,X2_control,controls,log_zscore,42,1,2.3256,42
108,wb_electric_consumption_kwh_pc_log_z,robust_zscore,float,wb_electric_consumption_kwh_pc_log,,,,42,1,2.3256,42
109,n_binding,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,4
110,binding_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
111,n_non_binding,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,8
112,non_binding_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
113,n_hybrid,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,4
114,hybrid_variables_used,audit_trace,string,binding_taxonomy.yaml,,,,43,0,0.0,1
115,regulatory_intensity,regulatory_aggregate,float,binding_taxonomy.yaml,,,,43,0,0.0,13
116,n_regulatory_mechanisms,regulatory_aggregate,integer,binding_taxonomy.yaml,,,,43,0,0.0,9
117,iapp_categoria_obligatoriedad_binding_ai_specific_horizontal_law,one_hot,integer,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,2
118,iapp_categoria_obligatoriedad_binding_ai_specific_horizontal_law_light_touch,one_hot,integer,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,2
119,iapp_categoria_obligatoriedad_binding_ai_specific_laws_subnational_or_use_case,one_hot,integer,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,2
120,iapp_categoria_obligatoriedad_binding_ai_specific_laws_use_case,one_hot,integer,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,2
121,iapp_categoria_obligatoriedad_nonbinding_ai_frameworks_plus_adjacent_binding_laws,one_hot,integer,iapp_categoria_obligatoriedad,X1_regulatory,all,one_hot,43,0,0.0,2
122,iapp_modelo_gobernanza_binding_horizontal_ai_law,one_hot,integer,iapp_modelo_gobernanza,X1_regulatory,all,one_hot,43,0,0.0,2
123,iapp_modelo_gobernanza_binding_use_case_specific_ai_laws,one_hot,integer,iapp_modelo_gobernanza,X1_regulatory,all,one_hot,43,0,0.0,2
124,iapp_modelo_gobernanza_draft_horizontal_ai_law,one_hot,integer,iapp_modelo_gobernanza,X1_regulatory,all,one_hot,43,0,0.0,2
125,iapp_modelo_gobernanza_strategy_voluntary_sectoral,one_hot,integer,iapp_modelo_gobernanza,X1_regulatory,all,one_hot,43,0,0.0,2
126,split,split,string,,,,,43,0,0.0,2
